,has_bug,has_document,has_feature,has_improve,has_refactor,has_test,has_fix,has_error,has_update,title_length,body_length,created_hour,created_dayofweek,created_month,created_year,comments,commits,additions,deletions,changed_files,directories,language_types,file_types,lines_added,lines_deleted,segs_added,segs_deleted,segs_updated,files_added,files_deleted,files_updated,file_developer,change_num,files_modified,is_core_member,prev_PRs,title_words,body_words
231,0,0,0,0,0,1,0,1,0,61,337,11,2,5,2020,4,12,99,32,4,3,2,2,99,32,0,0,0,0,0,4,0,4,4,0,0,12,59
232,0,0,0,0,0,0,0,0,0,19,10,10,6,5,2020,2,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,3,3
233,0,0,0,0,0,1,0,0,0,26,242,14,1,5,2020,1,2,7,2,3,1,3,3,7,2,0,0,0,0,0,3,0,3,3,0,0,4,41
234,0,0,0,0,0,0,0,0,0,41,28,14,1,5,2020,0,2,2,1,2,1,2,2,2,1,0,0,0,0,0,2,0,2,2,0,0,6,4
235,0,0,0,0,0,0,0,0,0,48,148,12,6,5,2020,0,3,11,4,2,1,2,2,11,4,0,0,0,0,0,2,0,2,2,0,0,7,23
236,0,0,0,0,0,0,0,0,0,38,0,14,6,5,2020,1,1,0,5,1,0,1,1,0,5,0,0,0,0,0,1,0,1,1,0,0,6,0
237,0,0,0,0,0,0,0,0,0,49,0,17,1,5,2020,1,1,6,0,1,0,1,1,6,0,0,0,0,0,0,1,0,1,1,0,0,6,0
238,0,0,0,0,0,0,0,0,0,62,35,19,1,6,2020,9,5,51,25,5,2,2,2,51,25,0,0,0,0,0,5,0,5,5,0,0,11,6
239,0,0,0,0,0,0,1,1,0,34,276,4,5,8,2020,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,7,41
240,0,0,0,0,0,0,0,0,0,50,330,7,1,9,2020,3,1,7,0,1,0,1,1,7,0,0,0,0,0,0,1,0,1,1,0,0,6,47
